,Date,Company,Title,Location,Link
12,2023-03-15,Thomson Reuters,Data Scientist - GTM Analytics,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-gtm-analytics-at-thomson-reuters-3493598690?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=AzjidbFDVIq3utKiIKuOHg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2023-03-01,Tata Consultancy Services,Python Developer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-tata-consultancy-services-3498339605?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=ZWBB0EoPmHtymJOU7ZQhSQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2023-03-06,Precisely,Principal Data Scientist,India,https://in.linkedin.com/jobs/view/principal-data-scientist-at-precisely-3515155897?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=%2Bk4zPUb14SjGTSoWBgrM%2BQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2023-03-16,C2FO,Decision Scientist (Statistical Analyst)_REMOTE,India,https://in.linkedin.com/jobs/view/decision-scientist-statistical-analyst-remote-at-c2fo-3432719813?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=LgpKr4KGWoyzYX9VcZY2ZA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2023-03-16,Accenture,Dataiku Data Science Studio (DSS),"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/dataiku-data-science-studio-dss-at-accenture-3526541390?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=l9PF%2F3S5oJqfoD3TZmXwWA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2023-03-20,The HEINEKEN Company,MLops Engineer,India,https://in.linkedin.com/jobs/view/mlops-engineer-at-the-heineken-company-3529510077?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=JqWkRDNlDf1udcnJ2Ad1Fg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2023-03-15,GFL Recruitment Private Limited,Machine Learning / Computer Vision Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-computer-vision-engineer-at-gfl-recruitment-private-limited-3524197476?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=izBUm6abby1FFpGxT7kNOA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,2023-02-21,HuQuo,Data Scientist - Data Mining,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-scientist-data-mining-at-huquo-3530108946?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=3diZHJZegeKi8STghDksUg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2023-03-18,Elixir Web Solutions,AVP - Data Scientist - KPO,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/avp-data-scientist-kpo-at-elixir-web-solutions-3530112054?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=f2h3CwhJaCSA39QJ6UgOnQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,2023-02-08,Only Much Louder,Data Scientist,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-only-much-louder-3514076868?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=dPyM4Giq9qQHPkEXm2NlOw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,2023-03-16,Animaker Inc.,Python Developer,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/python-developer-at-animaker-inc-3522830380?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=rF6jClTSGBRw10IzO1pMeQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,2023-03-18,Expedia Group,"Data Scientist II, Product Analytics","Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-ii-product-analytics-at-expedia-group-3533939403?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=PqLrDLdZqqnpCMGQYDGrOw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,2023-03-13,Siemens Energy,Python Developer,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/python-developer-at-siemens-energy-3040576649?refId=wMjCETCCkPK77%2F0alPmJeg%3D%3D&trackingId=8dt%2FgdDH%2Bbq9yfGfyCJ5Mg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,2023-02-24,HuQuo,Data Scientist - Data Mining,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-data-mining-at-huquo-3533231011?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=C1ov%2BlliC4YNtIAYwK%2BPYg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,2023-03-06,Tata Consultancy Services,Python Developer,India,https://in.linkedin.com/jobs/view/python-developer-at-tata-consultancy-services-3510003641?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=ggyTZvz8xdnjgoWGms55aw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,2023-03-10,Expedia Group,"Data Scientist II, Product Analytics","Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-ii-product-analytics-at-expedia-group-3520660717?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=27bF81CWraRJPXkbw76luQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,2023-02-24,Apollo 24|7,Apollo 24|7 - Data Scientist,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/apollo-24-7-data-scientist-at-apollo-24-7-3533579264?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=87%2BH4roIkNc%2Fe8M6yFlimA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,2023-03-17,Precisely,Software Engineer (Python),India,https://in.linkedin.com/jobs/view/software-engineer-python-at-precisely-3531980541?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=qMRmFYOnebuWX1L4SX6V%2Fw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,2023-03-07,Vestas,ML Engineer,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ml-engineer-at-vestas-3511424875?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=ni36gHe7PRhOFnnZvbYRrw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,2023-02-12,Qualitest,Python Automation,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-automation-at-qualitest-3516603968?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=l4wGk04CzETeLCc3k8wjUw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,2023-03-05,Conduent,Data Scientist III,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-iii-at-conduent-3506642558?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=ixHxLwlZvFEn9zgGe9Wf7g%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,2023-02-21,GFL Recruitment Private Limited,Machine Learning Research Engineer,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/machine-learning-research-engineer-at-gfl-recruitment-private-limited-3530422594?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=GnGVjkuCH7HSD%2BxuW1zqJQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
34,2023-02-28,Precisely,Software Engineer I,India,https://in.linkedin.com/jobs/view/software-engineer-i-at-precisely-3472244996?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=aM01YtOh4z85E70RV4XxeA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
35,2023-02-21,Seven N Half,Data Scientist,"Bengaluru North, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-seven-n-half-3530181032?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=Luv2iYtNjv9b14iYheQ78A%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
36,2023-02-17,Mspire Ventures Private Limited,Python Engineer,"Bharatpur, Rajasthan, India",https://in.linkedin.com/jobs/view/python-engineer-at-mspire-ventures-private-limited-3522468345?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=RcFZaNBgcEmWikdHFYDgvg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,2023-01-31,Maven Workforce Inc.,Jobs for Data Scientist - R/Python - Consulting Firm (6-13 yrs),"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/jobs-for-data-scientist-r-python-consulting-firm-6-13-yrs-at-maven-workforce-inc-3498066375?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=IrbbufzRiiKfNcS63w55IQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,2023-03-05,Conduent,Data Scientist III,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-iii-at-conduent-3506639684?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=o03MPw0wtXHLcg%2Fot9KCDg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,2023-01-17,E42.ai,Python Developer,India,https://in.linkedin.com/jobs/view/python-developer-at-e42-ai-3439419762?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=XV%2FTJla6AMqlXm08AnMPAg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,2023-03-17,Expedia Group,"Data Scientist II, Product Analytics","Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-ii-product-analytics-at-expedia-group-3532458985?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=OaPYYpcOYYZkC6ccOnvuyQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,2023-02-20,KNOREX,Software Engineer (Python/Java/Golang),"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/software-engineer-python-java-golang-at-knorex-3531424131?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=DnDu7wy7jYXRbtSL7VrvVw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,2023-02-15,"Glan Management Consultancy- Career, Jobs, Hiring",Python Developer,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/python-developer-at-glan-management-consultancy-career-jobs-hiring-3519978975?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=8Bp%2BSPEfLmLjDh34rIkkUg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,2023-03-16,Delta Air Lines,SDET Engineer [T500-6190],"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sdet-engineer-t500-6190-at-delta-air-lines-3529825427?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=dXN0a0dN5aWed78O4av9Mw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,2023-01-25,SMS-Magic,Python Developer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-sms-magic-3490742677?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=jFbMOBhKpI%2FzdEP%2B%2F7ok%2Fw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,2023-03-17,Delta Air Lines,SDET Engineer [T500-6680],"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sdet-engineer-t500-6680-at-delta-air-lines-3528138898?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=VEom2xlLXlKePyw3E%2BDNMQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,2023-03-04,Precisely,Software Engineer I,India,https://in.linkedin.com/jobs/view/software-engineer-i-at-precisely-3478146597?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=g5ROe8ZAFkqeCf1dEsnCpQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,2023-02-17,Mspire Ventures Private Limited,Python Engineer,"Surendranagar, Gujarat, India",https://in.linkedin.com/jobs/view/python-engineer-at-mspire-ventures-private-limited-3522466650?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=4PDZv0dOjiLqYGHDAK5saQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,2023-01-11,Leegality,Python Developer,India,https://in.linkedin.com/jobs/view/python-developer-at-leegality-3425779364?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=HOiffIX%2B4GYJb%2F9wCmNHcQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,2023-02-21,HuQuo,Data Scientist - Data Mining,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-data-mining-at-huquo-3530112602?refId=YPV%2BnSsXt7qC1KlpbwiDjg%3D%3D&trackingId=TaLOKmuKebiwZXkg7ra5oQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,2023-02-08,Conduent,Data Scientist III,India,https://in.linkedin.com/jobs/view/data-scientist-iii-at-conduent-3506650644?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=DoahDV25ZDuYoMhN%2BZZpYQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,2023-03-17,Innovapptive Inc,QA Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/qa-engineer-at-innovapptive-inc-3532471373?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=uf88IWnQqAq%2BA6TzL7Uasg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,2023-03-16,OptiSol Business Solutions,Senior Machine Learning Engineer,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/senior-machine-learning-engineer-at-optisol-business-solutions-3522829965?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=kHqLj9ITum4Jecdt1Ak75A%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,2023-02-14,"Glan Management Consultancy- Career, Jobs, Hiring",Python Developer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-glan-management-consultancy-career-jobs-hiring-3519303277?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=bhtH4MREh%2FaXsLqD8GirPA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
54,2023-03-15,HackerRank,Lead Machine Learning Engineer (Remote),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-machine-learning-engineer-remote-at-hackerrank-3148542453?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=h4s82eUJudncoz4oUiSqUA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,2023-03-16,Eli Lilly and Company,"ML Engineer, Consumer Analytics","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-consumer-analytics-at-eli-lilly-and-company-3462155398?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=Xh6GfgV01mS5z3MZf6xXcw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,2023-01-18,Testbook,Freelance- CS- Data Science,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/freelance-cs-data-science-at-testbook-3480193787?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=K0p86YjKb9x1sI70oJ8Dvw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,2023-02-27,Data Axle,Python,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-at-data-axle-3494770978?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=2jhEP%2Faa4BwB8oW5VnTh%2Bg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,2023-03-01,Supersourcing,Python Developer,India,https://in.linkedin.com/jobs/view/python-developer-at-supersourcing-3498331032?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=yBPhTEZ0r%2FOg%2Ba%2Bi1odVsg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,2023-01-28,A2Z Jobs Consultancy,Python Developer,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/python-developer-at-a2z-jobs-consultancy-3488652310?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=WDUNw6OPtp6A2kyrm9jhgg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,2023-03-18,Eli Lilly and Company,Sr. Associate Consultant–Data Scientist,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-associate-consultant%E2%80%93data-scientist-at-eli-lilly-and-company-3437315215?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=WZ28rUAGjfJd27y921fCfA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,2023-02-23,Jobrisers,Python Developer,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/python-developer-at-jobrisers-3532023015?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=m%2BhTjB7FaO%2B1cw9HBRJ3lw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,2023-02-20,ACL Digital,Machine Learning-Data/full stack Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-data-full-stack-engineer-at-acl-digital-3485505489?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=f8GI6bNamfXLfmcpM1KS%2BQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,2023-02-08,Conduent,Data Scientist III,India,https://in.linkedin.com/jobs/view/data-scientist-iii-at-conduent-3506651364?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=G%2Bjhf5tzW%2FGgDjFqX%2FqbOQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,2023-02-14,"Glan Management Consultancy- Career, Jobs, Hiring",Data Engineer (Python data science libraries),"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-python-data-science-libraries-at-glan-management-consultancy-career-jobs-hiring-3518991998?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=TUhThZGcWUcuYFMkDX44SA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,2023-02-11,Simform,Python Developer,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/python-developer-at-simform-3517032706?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=z%2F%2BMumcySYHSwX6ATIH%2BVg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
66,2023-01-29,Tudip Technologies,Python Developer,"Mulshi, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-tudip-technologies-3496136329?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=iO9getZIp9HtYF3%2FGnl9%2FA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,2023-01-07,Eastvantage,Data Analyst/Scientist,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-scientist-at-eastvantage-3426744364?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=cTWpOxLsk3lGRsuo8PYj6A%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,2023-03-21,EXL Health,Python Developer,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/python-developer-at-exl-health-3533272392?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=S2WSb4mGOaAKMd0hpu18hA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,2023-03-15,FINEOS,DevOps Engineer,India,https://in.linkedin.com/jobs/view/devops-engineer-at-fineos-3528610734?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=c5VOj2nwMLgna%2FKzwSTa5w%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,2023-03-20,Delta Air Lines,Senior SDET Engineer [T500-6547],"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-sdet-engineer-t500-6547-at-delta-air-lines-3536157465?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=h%2FQNCdhswQiKpNUoVwvEoQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,2023-02-24,FPL Technologies,FPL Technologies - Data Scientist,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/fpl-technologies-data-scientist-at-fpl-technologies-3533580250?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=qKVeWAPyHy1x1gzVvJrHow%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
72,2023-01-01,Alliance Recruitment Agency,Data Scientist,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-scientist-at-alliance-recruitment-agency-3451346984?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=kVZxP6CEjWpowqv39I%2BOOw%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
73,2023-03-17,Delta Air Lines,Senior SDET Engineer [T500-6678],"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-sdet-engineer-t500-6678-at-delta-air-lines-3528127757?refId=RvvrzT1RRGJ1r2CIZhluQw%3D%3D&trackingId=pYPyA6M8PBxUVbCwjS3teQ%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
74,2023-02-24,EXL Services.com ( I ) Pvt. Ltd.,EXL - Data Scientist,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/exl-data-scientist-at-exl-services-com-i-pvt-ltd-3533581173?refId=oom9Mai7fvpnj2fstR5S4w%3D%3D&trackingId=0dezerCie5Ttz4JsOMwmsw%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
75,2023-03-17,"Redaptive, Inc",Back-End Software Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/back-end-software-engineer-at-redaptive-inc-3531825742?refId=oom9Mai7fvpnj2fstR5S4w%3D%3D&trackingId=W5KVkAxrwIYtKNgu3sFEJw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
76,2023-03-16,BOLD,Project Lead- Data Science,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/project-lead-data-science-at-bold-3530505183?refId=oom9Mai7fvpnj2fstR5S4w%3D%3D&trackingId=g%2BHCeljYlf%2FXR5gy73BJ%2Fg%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
